x,y
0.020,494.0009914
0.030,511.2319811
0.040,527.2314635
0.050,546.4508641
0.060,564.3090324
0.070,578.4447841
0.080,595.7045742
0.090,613.3252386
0.100,624.0976343
0.110,642.3462342
0.120,658.6891371
0.130,676.9961147
0.140,691.7254235
0.150,709.6184875
0.160,726.7083143
0.171,747.9787734
0.180,760.7214109
0.190,777.9527551
0.200,796.0309616
0.210,814.0690698
0.220,828.9331719
0.230,848.4072821
0.241,868.1643851
0.250,885.3626108
0.260,902.1537679
0.270,919.6574724
0.280,938.8100161
0.291,954.6307196
0.300,970.5209691
0.310,989.0345278
0.320,1005.834096
0.330,1020.595995
0.340,1037.206937
0.350,1058.023712
0.360,1073.885179
0.370,1089.485356
0.380,1101.211103
0.390,1115.698295
0.400,1129.767541
0.410,1146.56616
0.420,1156.243721
0.430,1166.325404
,
,
,
,
,
,
,
,
