x,y
0.020,427.5462161
0.030,444.1925835
0.040,460.3317067
0.050,476.1640895
0.060,492.0355489
0.070,508.0336971
0.080,523.5931223
0.090,539.9374981
0.100,556.0404876
0.110,572.3271998
0.120,588.62433
0.130,605.5655896
0.140,622.3303022
0.150,639.2608113
0.160,656.5434216
0.170,673.8269623
0.180,691.3183979
0.190,709.0505257
0.200,726.9693366
0.210,744.8843359
0.220,763.163889
0.230,781.2199549
0.240,799.7955522
0.250,817.4215494
0.260,836.3678211
0.270,855.2572102
0.280,874.0442704
0.290,892.9685947
0.300,912.1266735
0.310,931.1860175
0.320,950.357156
0.330,969.4522415
0.340,988.6863912
0.350,1007.62458
0.360,1026.587847
0.370,1045.349441
0.380,1064.146864
0.390,1082.488117
0.400,1100.816161
0.410,1118.803614
0.420,1136.694503
0.430,1153.751658
0.440,1170.612932
0.450,1186.994558
0.460,1202.765166
0.470,1217.75816
0.480,1231.754591
0.490,1244.419281
0.500,1254.990461
