x,y
295.19,0.002560818
313.185,0.007662875
328.609,0.01020416
338.892,0.017789524
349.175,0.022814655
356.887,0.032789791
367.17,0.042666405
374.882,0.057300893
385.165,0.06933472
390.306,0.081225454
398.018,0.090637279
405.73,0.106898233
413.442,0.118352651
421.154,0.127422647
426.296,0.14310071
434.008,0.154150966
444.29,0.171579905
452.003,0.180182604
457.144,0.190831907
454.573,0.197168296
462.285,0.205553754
469.997,0.211797022
472.568,0.220062008
472.568,0.228258448
480.28,0.232331612
480.28,0.238411205
485.422,0.250459063
493.134,0.260390009
495.704,0.268263751
498.275,0.274129398
503.416,0.278020297
503.416,0.285756971
511.129,0.291521194
511.129,0.299154512
513.699,0.306730003
521.411,0.312374929
521.411,0.321711691
521.411,0.332802655
529.123,0.341951484
536.835,0.347401579
536.835,0.354621537
541.977,0.367133067
544.548,0.375974504
549.689,0.384739135
552.26,0.395155479
554.83,0.405465108
559.972,0.412279173
559.972,0.419047778
565.113,0.427443797
575.396,0.434110872
575.396,0.444027913
580.537,0.45058569
572.825,0.453848205
577.967,0.463572997
580.537,0.471604847
585.679,0.479573318
595.961,0.489051683
593.391,0.496882874
598.532,0.503103485
